Open-1,Open-2,Open-3,High-1,High-2,High-3,Low-1,Low-2,Low-3,Volume-1,Volume-2,Volume-3,Target
182.59,180.29,177.96,183.5,182.39,180.0,179.24,180.21,177.39,31464170.0,32191070.0,32130360.0,180.32
204.0,204.05,204.59,205.88,205.09,206.11,203.7,203.27,203.5,18582160.0,14107450.0,16866820.0,205.79
117.7,115.02,114.31,118.69,116.75,114.56,116.2,114.72,113.51,63963010.0,36087910.0,24336440.0,117.35
94.55,92.39,90.0,94.7,94.39,91.67,93.01,91.65,90.0,46858910.0,61192340.0,44223040.0,94.16
322.57,323.52,315.31,325.22,324.76,319.64,320.26,318.95,313.63,26356390.0,29706720.0,34154130.0,322.37
375.41,370.0,367.85,378.62,375.78,370.47,372.23,369.87,363.64,28106110.0,29663910.0,28510370.0,376.72
115.38,115.04,113.84,116.73,116.2,115.92,115.23,114.98,113.75,46286150.0,33962370.0,43293350.0,116.47
171.76,180.95,184.46,174.78,182.39,184.94,170.42,176.27,181.21,42704910.0,41141250.0,40537700.0,173.49
99.26,99.83,100.0,99.3,101.0,100.46,98.31,99.13,99.74,28218240.0,32690080.0,26219110.0,98.25
114.58,115.97,112.95,116.25,116.5,117.44,114.5,114.12,112.1,38610120.0,52828890.0,99202400.0,116.53
153.9,154.34,153.58,155.81,154.45,155.45,153.78,153.46,152.89,26591850.0,25277680.0,27715140.0,155.02
94.87,110.43,114.08,108.8,111.9,114.35,92.0,105.65,111.63,161882500.0,127246600.0,68176940.0,111.11
150.58,149.99,151.5,152.44,150.44,151.74,149.9,148.88,150.19,21466370.0,25111310.0,17170490.0,151.8
156.25,155.79,155.48,158.13,156.33,158.13,154.11,153.66,154.32,39914850.0,26147280.0,33508960.0,163.25
303.22,300.46,295.06,305.17,303.24,301.0,301.97,298.87,294.46,28803760.0,35583440.0,36937800.0,305.64
173.16,174.55,174.35,174.3,175.06,175.61,173.0,173.41,173.93,23751690.0,21532200.0,20523870.0,174.59
97.41,97.17,96.75,97.67,97.7,97.65,96.84,97.12,96.73,25879680.0,24129530.0,23317990.0,97.39
270.8,250.9,242.8,271.7,263.11,245.7,259.0,249.38,238.97,50721830.0,50455070.0,32470020.0,262.74
169.71,171.39,170.1,171.26,172.48,171.0,169.38,169.92,169.7,21785180.0,22389660.0,22224400.0,171.25
175.11,175.11,174.66,175.38,176.1,176.24,174.27,173.14,174.33,25129510.0,29422610.0,24358920.0,173.5
